,total,data,pde
0,0.5529283601045608,0.5491497218608856,0.003778636628994718
1,0.4771304431557655,0.4740598817169666,0.003070560797350481
2,0.4759411060810089,0.4733145788311958,0.002626527464017272
3,0.4753118650615215,0.4729594250023365,0.0023524388135410844
4,0.4746807338297367,0.47257413566112516,0.0021065986645407973
5,0.47379929691553113,0.4719734065234661,0.0018258909054566174
6,0.472797239869833,0.47114675045013427,0.001650489023886621
7,0.4718919348716736,0.47032987371087076,0.0015620605839649214
8,0.4705788120627403,0.4690315294265747,0.001547282007522881
9,0.46757706344127653,0.46601526528596876,0.0015617984300479292
10,0.45883390471339225,0.4570088462531567,0.0018250583036569879
11,0.4407439784705639,0.43809914603829386,0.002644832512596622
12,0.4166083893179893,0.41348806232213975,0.003120327821234241
13,0.38358476728200913,0.38000698953866957,0.003577777394093573
14,0.35192177683115006,0.3481554053723812,0.0037663715134840458
15,0.33005029752850534,0.32612167701125144,0.003928619342623278
16,0.30788323149085045,0.3036982901394367,0.004184941716957837
17,0.2866783529520035,0.2824481900036335,0.004230162994936108
18,0.2711448247730732,0.266986600458622,0.004158224690472707
19,0.25846971303224564,0.2543697138130665,0.004099999408936128
20,0.24791945189237594,0.24390301488339902,0.004016436454840004
21,0.23851760976016523,0.23454068146646023,0.003976928361225873
22,0.22987491473555566,0.22585412368178368,0.004020791301736608
23,0.22175091974437236,0.21764661937952043,0.004104300125036388
24,0.21518244557082652,0.21099645093083383,0.004185995303560048
25,0.20880327560007572,0.20457392528653146,0.0042293506185524165
26,0.20341904021799564,0.19920712761580944,0.0042119127023033795
27,0.19843920528888703,0.19429222777485847,0.004146977420896291
28,0.19416755929589272,0.1900848603248596,0.004082699459977448
29,0.19047720327973366,0.18643526256084442,0.004041940829483792
30,0.1867101702094078,0.1826787892729044,0.004031380536034703
31,0.1833713771402836,0.17932854197919368,0.004042835205327719
32,0.18026873476803304,0.1762205246835947,0.004048209764296189
33,0.17752700127661228,0.17348072052001953,0.00404628076357767
34,0.17495157167315484,0.17089935533702375,0.0040522160450927915
35,0.1723804710805416,0.16831458054482937,0.0040658905042801055
36,0.17019109040498734,0.16609220243990422,0.00409888792433776
37,0.16821052238345147,0.1640341804176569,0.0041763415304012595
38,0.16595612540841104,0.16164988681674003,0.004306239211000502
39,0.16411831609904767,0.15960821218788623,0.004510103941429406
40,0.16154927738010882,0.15677324056625366,0.004776036709081381
41,0.15904765754938124,0.1539693595468998,0.0050782978883944455
42,0.15681561149656773,0.15143532186746597,0.005380289894528687
43,0.15421181812882423,0.14854166276752948,0.005670155836269259
44,0.15179403781890868,0.14586528412997724,0.005928753840271384
45,0.14888675048947334,0.1427089711278677,0.006177779110148549
46,0.1460932832956314,0.13963961146771908,0.0064536714972928165
47,0.14273195162415506,0.13598434008657934,0.006747611917089671
48,0.13874601282179355,0.13170649386942387,0.007039518724195659
49,0.13463373258709907,0.12731358174234628,0.0073201508657075465
50,0.13068313598632814,0.12310590136796236,0.00757723449729383
51,0.1265846023336053,0.11878373384475709,0.007800868267659098
52,0.1229775957390666,0.1150509775802493,0.007926617949269712
53,0.11966415628790855,0.11169657461345196,0.007967581811826677
54,0.11620455242693424,0.10824515953660012,0.00795939281117171
55,0.11278822038322688,0.10487361323088408,0.007914606963749975
56,0.10941740155220031,0.10159813746809959,0.007819263993296773
57,0.10614995170384646,0.09849498126655817,0.007654970495495945
58,0.10277485832571984,0.09536928992718458,0.007405568263493478
59,0.09971870142966509,0.09263839937746525,0.0070803018938750024
60,0.09695830553770066,0.09023120328783989,0.006727102489676327
61,0.09432562183588743,0.08793856777250766,0.00638705407967791
62,0.09197762809693813,0.08587667152285576,0.006100956553127617
63,0.08960107240825892,0.08374660898000003,0.005854463342111558
64,0.08758138991892338,0.08190974224358798,0.005671647749841214
65,0.08586955215781927,0.08033949069678784,0.005530061270110309
66,0.0837994723021984,0.07838603023439646,0.005413442216813565
67,0.0821446442231536,0.07681403659284115,0.005330607776995748
68,0.08084419406950474,0.07555570546537638,0.00528848868329078
69,0.07910764958709478,0.07387033514678479,0.0052373141841962935
70,0.07793956987559796,0.07270061545073986,0.005238954690285027
71,0.0761395139247179,0.07089212115854025,0.005247392628807575
72,0.0746890214458108,0.06938790090382099,0.005301120332442224
73,0.07264297612011433,0.06730294264853001,0.005340033294633031
74,0.07077560357749463,0.06544094163924456,0.005334661982487887
75,0.06877905044704676,0.06356641368940473,0.005212636960204691
76,0.0671458350867033,0.0621252846904099,0.005020550193730742
77,0.06562918074429035,0.060830390118062495,0.004798790619242936
78,0.06424550253897905,0.05966083517298102,0.00458466733340174
79,0.06312283286824823,0.05873746458441019,0.004385368165094406
80,0.06211907247081399,0.05789452187716961,0.0042245503549929704
81,0.061006816774606704,0.05693126829341054,0.004075548381078989
82,0.06012652473524213,0.05615783240646124,0.003968692312482745
83,0.05930174436420202,0.05540469102561474,0.0038970532454550267
84,0.05831440027803183,0.05446699535474181,0.003847404853440821
85,0.05751339841634035,0.05366314647719264,0.0038502518949098887
86,0.05659950045868754,0.052698156982660296,0.003901343464385718
87,0.05527646113187075,0.05122975517064333,0.004046705834334716
88,0.05359952760860324,0.04926028281450272,0.004339244766160846
89,0.05139435190707445,0.046523371413350105,0.0048709805146791045
90,0.048691505752503875,0.04329655596986413,0.005394949684850872
91,0.04593269167467952,0.040376301668584344,0.005556390075944364
92,0.04346123304218054,0.03807971570640802,0.005381517405621708
93,0.040825408454984426,0.035847592800855636,0.00497781558893621
94,0.0384634055942297,0.03399509083479643,0.004468314773403108
95,0.03661820633336901,0.032598004136234524,0.004020202273968607
96,0.035199813805520536,0.0315133735537529,0.003686440218007192
97,0.03436261884868145,0.030921125086024404,0.0034414938988629727
98,0.0333565709553659,0.030105394227430225,0.003251176708145067
99,0.03270226665772498,0.02960408720187843,0.0030981795326806604
